"","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid","symbol"
"144501",447.822189508542,6.43552989948266,0.331599665999495,6.74740643707418e-92,1.3140574036202e-87,"144501","KRT80"
"100131825",236.865511812049,-4.64610386773338,0.237003864984398,4.05198440443975e-88,3.94561981382321e-84,"100131825","CADM3-AS1"
"2118",2683.98504766548,5.32586027607607,0.288703737624722,3.77080657702177e-83,2.44788193624997e-79,"2118","ETV4"
"7472",190.761068631266,6.15840165677174,0.331281824837833,1.00869375274013e-81,4.9110777086535e-78,"7472","WNT2"
"266675",2105.02662469415,-6.13896134529024,0.342057739551735,5.25281636055982e-77,2.04597197243805e-73,"266675","BEST4"
"1301",764.651524890303,5.66553533395051,0.321800539887099,3.67826729443693e-75,1.19390425931932e-71,"1301","COL11A1"
"2906",1037.34775940568,4.67935604224037,0.266089602221047,3.81536244021355e-72,1.06148833604513e-68,"2906","GRIN2D"
"57863",527.786588274558,-4.9528148422384,0.279901609281375,6.76713811017853e-72,1.64737518369659e-68,"57863","CADM3"
"4118",107.73780637157,-4.52495214227897,0.255859176130504,1.29958493564322e-71,2.81215740240574e-68,"4118","MAL"
"766",2149.95806121286,-5.73038135049145,0.3290382055612,6.40530268583035e-71,1.24743269806546e-67,"766","CA7"
"10590",429.620399945322,-5.10379492180883,0.296158657662289,1.1515095821541e-69,2.03869537385919e-66,"10590","SCGN"
"5354",254.597225753665,-5.63680655888118,0.336505499891039,4.5390177086335e-68,7.36644748963645e-65,"5354","PLP1"
"11082",105.563534375151,5.74432530916103,0.335698278382276,6.29568611732372e-68,9.43142208729843e-65,"11082","ESM1"
"28231",1553.32665685507,2.89538849861822,0.170372248192707,1.02046945856673e-66,1.41954590754194e-63,"28231","SLCO4A1"
"92736",1317.90395879604,-8.03956961113755,0.490364874897396,7.89699465794879e-66,1.02529313975702e-62,"92736","OTOP2"
"25840",4086.24832335929,-2.31777064617074,0.138644411853203,8.43320872460776e-65,1.02647962444835e-61,"25840","TMT1A"
"443",95.757272601671,-4.22034132578748,0.253416535377829,1.00374837475745e-64,1.14988232931773e-61,"443","ASPA"
"9076",844.525829544884,4.43580668077095,0.272572595992595,1.25371296136817e-64,1.35644777348028e-61,"9076","CLDN1"
"84417",93.1757284760153,-5.16368002663912,0.319163523302215,4.74732964923178e-63,4.86601289046257e-60,"84417","ECRG4"
"146556",424.535333307893,-4.79281794532062,0.308707302508027,4.79925948272287e-59,4.67327892130139e-56,"146556","C16orf89"
"100127888",314.00990073384,2.9911283071684,0.192234867303281,5.70985562978531e-57,5.29521135190804e-54,"100127888","SLCO4A1-AS1"
"10231",495.657127271178,-2.3602830679922,0.15386568796213,4.87466437648114e-55,4.31518585145319e-52,"10231","RCAN2"
"6258",46.608450560222,-4.71829887073623,0.314110633336691,5.53314868507401e-55,4.48991961007568e-52,"6258","RXRG"
"79785",73.308722738245,-6.30697073946694,0.423165807280531,5.51860558115512e-55,4.48991961007568e-52,"79785","RERGL"
"145270",217.43685442387,-5.27932810935132,0.366577584351582,6.31061135915794e-55,4.91596624878403e-52,"145270","PRIMA1"
"51330",1855.95253470341,3.58578176922682,0.236351546741889,9.31377506103357e-55,6.97637574283188e-52,"51330","TNFRSF12A"
